,Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,player_id,1D,Awards,QBR
15,2018,36,DET,,8.0,2,0,,7,17,41.2,59,0,0.0,1,5.9,11,3.5,0.8,8.4,29.5,26.3,1,13,5.6,2.56,0.06,,,0,27,2.0,,9.6
16,Career,Career,,,,107,81,36-45-0,1578,2683,58.8,17508,104,3.9,82,3.1,79,6.5,5.9,11.1,163.6,78.5,210,1157,7.3,5.65,5.1,9.0,12.0,51,27,854.0,,
17,4 yrs,4 yrs,KAN,,,48,47,19-28-0,854,1489,57.4,9549,59,4.0,44,3.0,75,6.4,5.9,11.2,198.9,77.5,109,646,6.8,5.57,5.07,4.0,7.0,25,27,474.0,,
18,4 yrs,4 yrs,NWE,,,30,15,10-5-0,349,555,62.9,3946,23,4.1,13,2.3,76,7.1,6.9,11.3,131.5,88.2,51,235,8.4,6.12,5.92,2.0,2.0,18,27,194.0,,
19,2 yrs,2 yrs,MIN,,,12,9,4-5-0,194,325,59.7,2232,14,4.3,13,4.0,79,6.9,5.9,11.5,186.0,78.1,22,124,6.3,6.07,5.2,2.0,2.0,7,27,104.0,,
20,2 yrs,2 yrs,TEN,,,6,2,1-1-0,55,93,59.1,446,3,3.2,4,4.3,50,4.8,3.5,8.1,74.3,64.2,13,53,12.3,3.71,2.58,,,1,27,26.0,,
21,1 yr,1 yr,BUF,,,1,1,1-0-0,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,27,0.0,,
22,1 yr,1 yr,DAL,,,8,7,1-6-0,119,204,58.3,1276,5,2.5,7,3.4,51,6.3,5.2,10.7,159.5,70.6,14,86,6.4,5.46,4.47,1.0,1.0,0,27,54.0,,
23,1 yr,1 yr,DET,,,2,0,,7,17,41.2,59,0,0.0,1,5.9,11,3.5,0.8,8.4,29.5,26.3,1,13,5.6,2.56,0.06,,,0,27,2.0,,
0,2018,21,NYJ,QB,14.0,13,13,4-9-0,239,414,57.7,2865,17,4.1,15,3.6,76,6.9,6.1,12.0,220.4,77.6,30,204,6.8,5.99,5.24,1.0,1.0,7,28,130,,45.9
1,2019,22,NYJ,QB,14.0,13,13,7-6-0,273,441,61.9,3024,19,4.3,13,2.9,92,6.9,6.4,11.1,232.6,84.3,33,212,7.0,5.93,5.5,2.0,3.0,6,28,147,,45.6
2,2020,23,NYJ,QB,14.0,12,12,2-10-0,217,364,59.6,2208,9,2.5,11,3.0,69,6.1,5.2,10.2,184.0,72.7,35,234,8.8,4.95,4.16,,,4,28,109,,32.9
3,2021,24,CAR,QB,14.0,12,11,4-7-0,243,406,59.9,2527,9,2.2,13,3.2,63,6.2,5.2,10.4,210.6,71.9,35,204,7.9,5.27,4.35,,,6,28,123,,33.2
4,Career,Career,,,,50,49,17-32-0,972,1625,59.8,10624,54,3.3,52,3.2,92,6.5,5.8,10.9,212.5,76.9,133,854,7.6,5.56,4.84,3.0,4.0,23,28,509,,
5,3 yrs,3 yrs,NYJ,,,38,38,13-25-0,729,1219,59.8,8097,45,3.7,39,3.2,92,6.6,5.9,11.1,213.1,78.6,98,650,7.4,5.65,5.01,3.0,4.0,17,28,386,,
6,1 yr,1 yr,CAR,,,12,11,4-7-0,243,406,59.9,2527,9,2.2,13,3.2,63,6.2,5.2,10.4,210.6,71.9,35,204,7.9,5.27,4.35,,,6,28,123,,
0,1977,22,CHI,,8,7,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,29,,,
1,1978,23,CHI,,8,3,0,,1,3,33.3,38,0,0,1,33.3,38,12.7,-2.3,38.0,12.7,42.4,2,25,40,2.60,-6.40,,,0,29,,,
2,1979,24,CHI,,8,4,3,0-3-0,32,63,50.8,508,4,6.3,5,7.9,65,8.1,5.8,15.9,127.0,66.1,8,75,11.3,6.10,4.06,,,2,29,,,
3,1980,25,CHI,QB,8,13,10,5-5-0,148,278,53.2,2039,11,4,16,5.8,89,7.3,5.5,13.8,156.8,66.2,26,205,8.6,6.03,4.39,1,0,10,29,,,
4,1981,26,CHI,QB,8,16,16,6-10-0,195,436,44.7,2354,11,2.5,20,4.6,85,5.4,3.8,12.1,147.1,51.1,23,173,5,4.75,3.27,0,2,4,29,,,
5,1982,27,CHI,,8,4,0,,12,28,42.9,125,0,0,4,14.3,19,4.5,-2.0,10.4,31.3,16.8,2,17,6.7,3.60,-2.40,,,1,29,,,
6,1983,28,CHI,,8,9,3,1-2-0,76,145,52.4,1108,5,3.4,7,4.8,72,7.6,6.2,14.6,123.1,69.0,11,92,7.1,6.51,5.13,0,1,4,29,,,
7,1984,,Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),Missed season - Chicago Blitz (United States Football League),29,Missed season - Chicago Blitz (United States Football League),,
8,1985,,Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),Missed season - Denver Gold (United States Football League),29,Missed season - Denver Gold (United States Football League),,
9,1987,32,RAI,,11,3,3,1-2-0,39,83,47,630,5,6,4,4.8,47,7.6,6.6,16.2,210.0,72.9,7,38,7.8,6.58,5.69,,,3,29,,,
10,1989,34,RAI,,11,1,0,,2,2,100,50,0,0,0,0,40,25.0,25.0,25.0,50.0,118.7,2,19,50,7.75,7.75,,,0,29,,,
11,1990,35,RAI,,11,5,0,,1,1,100,36,0,0,0,0,36,36.0,36.0,36.0,7.2,118.7,0,0,0,36.00,36.00,,,0,29,,,
12,1991,36,RAI,,11,4,0,,6,14,42.9,127,1,7.1,2,14.3,80,9.1,4.1,21.2,31.8,59.8,2,20,12.5,6.69,2.31,,,1,29,,,
13,1992,37,RAI,,11,5,0,,29,53,54.7,372,4,7.5,3,5.7,50,7.0,6.0,12.8,74.4,78.5,3,26,5.4,6.18,5.20,1,1,2,29,,,
14,1993,38,RAI,,11,8,1,0-1-0,45,76,59.2,640,3,3.9,4,5.3,68,8.4,6.8,14.2,80.0,77.7,12,87,13.6,6.28,4.92,1,1,2,29,,,
15,1994,39,RAI,,11,9,0,,18,33,54.5,222,2,6.1,0,0,65,6.7,7.9,12.3,24.7,95.8,9,57,21.4,3.93,4.88,,,1,29,9,,
16,1995,40,OAK,qb,11,9,3,1-2-0,100,175,57.1,1236,6,3.4,8,4.6,73,7.1,5.7,12.4,137.3,71.5,11,70,5.9,6.27,4.98,,,4,29,57,,
17,Career,Career,,,,100,39,14-25-0,704,1390,50.6,9485,52,3.7,74,5.3,89,6.8,5.2,13.5,94.9,63.0,118,904,7.8,5.69,4.17,3,5,34,29,66,,
18,8 yrs,8 yrs,OAK-RAI,,,44,7,2-5-0,240,437,54.9,3313,21,4.8,21,4.8,80,7.6,6.4,13.8,75.3,75.4,46,317,9.5,6.20,5.12,2,2,13,29,66,,
19,7 yrs,7 yrs,CHI,,,56,32,12-20-0,464,953,48.7,6172,31,3.3,53,5.6,89,6.5,4.6,13.3,110.2,57.3,72,587,7,5.45,3.73,1,3,21,29,0,,
0,1976,23,RAM,qb,11.0,10,7,5-1-1,60,105,57.1,896,8,7.6,4,3.8,65,8.5,8.3,14.9,89.6,94.8,13,86,11.0,6.86,6.69,1.0,1.0,5,30,,AP ORoY-2,
1,1977*,24,RAM,QB,11.0,12,10,8-2-0,122,216,56.5,1551,11,5.1,6,2.8,58,7.2,6.9,12.7,129.3,84.5,17,151,7.3,6.01,5.79,1.0,1.0,11,30,,PB,
2,1978,25,RAM,QB,11.0,16,16,12-4-0,229,444,51.6,2995,13,2.9,19,4.3,68,6.7,5.4,13.1,187.2,65.1,32,216,6.7,5.84,4.59,3.0,6.0,9,30,,,
3,1979,26,RAM,QB,11.0,10,10,5-5-0,163,290,56.2,1854,11,3.8,14,4.8,50,6.4,5.0,11.4,185.4,68.1,21,178,6.8,5.39,4.07,0.0,0.0,5,30,,,
4,1980,27,RAM,,11.0,4,1,0-1-0,19,41,46.3,185,0,0.0,4,9.8,24,4.5,0.1,9.7,46.3,19.9,4,30,8.9,3.44,-0.56,,,1,30,,,
5,1981,28,RAM,QB,11.0,13,11,5-6-0,138,267,51.7,1815,9,3.4,13,4.9,67,6.8,5.3,13.2,139.6,64.4,28,227,9.5,5.38,4.01,,,5,30,,,
6,Career,Career,,,,65,55,35-19-1,731,1363,53.6,9296,52,3.8,60,4.4,68,6.8,5.6,12.7,143.0,69.6,115,888,7.8,5.69,4.57,5.0,8.0,36,30,,,
0,1978,23,CIN,,16.0,3,0.0,,1,4,25,9,0,0,0,0,9,2.3,2.3,9.0,3.0,39.6,0,0,0,2.25,2.25,,,0,31,,,
1,Career,Career,,,,3,,,1,4,25,9,0,0,0,0,9,2.3,2.3,9.0,3.0,39.6,0,0,0,2.25,2.25,,,0,31,,,
0,1995,22,JAX,,11.0,1,0,,3,7,42.9,24,0,0.0,1,14.3,19,3.4,-3.0,8.0,24.0,12.5,1,13,12.5,1.38,-4.25,,,0,32,0.0,,
1,1996,23,JAX,,11.0,2,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,32,,,
2,1997,24,JAX,,11.0,5,1,1-0-0,22,28,78.6,344,2,7.1,2,7.1,40,12.3,10.5,15.6,68.8,111.9,6,29,17.6,9.26,7.79,1.0,1.0,2,32,12.0,,
